ProjectName;Violation Type;Occurrence;Category
biojava-biojava;SR_NOT_CHECKED;3;Bad practice
biojava-biojava;RR_NOT_CHECKED;3;Bad practice
biojava-biojava;CO_COMPARETO_INCORRECT_FLOATING;5;Bad practice
biojava-biojava;NP_NULL_PARAM_DEREF_ALL_TARGETS_DANGEROUS;5;Correctness
biojava-biojava;SA_FIELD_SELF_ASSIGNMENT;6;Correctness
biojava-biojava;LI_LAZY_INIT_UPDATE_STATIC;7;Multithreaded correctness
biojava-biojava;SIC_INNER_SHOULD_BE_STATIC_NEEDS_THIS;1;Performance
biojava-biojava;FE_TEST_IF_EQUAL_TO_NOT_A_NUMBER;9;Correctness
biojava-biojava;ISC_INSTANTIATE_STATIC_CLASS;12;Bad practice
biojava-biojava;EQ_SELF_USE_OBJECT;7;Correctness
biojava-biojava;UCF_USELESS_CONTROL_FLOW_NEXT_LINE;2;Dodgy code
biojava-biojava;BX_BOXING_IMMEDIATELY_UNBOXED_TO_PERFORM_COERCION;2;Performance
biojava-biojava;SA_FIELD_DOUBLE_ASSIGNMENT;3;Dodgy code
biojava-biojava;UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR;2;Correctness
biojava-biojava;CN_IDIOM;11;Bad practice
biojava-biojava;EC_UNRELATED_CLASS_AND_INTERFACE;7;Correctness
biojava-biojava;VA_FORMAT_STRING_ILLEGAL;8;Correctness
biojava-biojava;NM_METHOD_CONSTRUCTOR_CONFUSION;6;Correctness
biojava-biojava;QF_QUESTIONABLE_FOR_LOOP;1;Dodgy code
biojava-biojava;RCN_REDUNDANT_COMPARISON_OF_NULL_AND_NONNULL_VALUE;3;Dodgy code
